Timestamp,Telegram ID
2019-10-25,127
2019-10-26,113
2019-10-27,53
2019-10-28,97
2019-10-29,81
2019-10-30,76
2019-10-31,172
2019-11-01,144
2019-11-02,126
2019-11-03,167
2019-11-04,142
2019-11-05,85
2019-11-06,120
2019-11-07,126
2019-11-08,117
2019-11-09,88
2019-11-10,95
2019-11-11,102
2019-11-12,102
2019-11-13,158
2019-11-14,142
2019-11-15,73
2019-11-16,61
2019-11-17,72
2019-11-18,72
2019-11-19,109
2019-11-20,196
2019-11-21,118
2019-11-22,69
2019-11-23,87
2019-11-24,59
2019-11-25,132
2019-11-26,193
2019-11-27,120
2019-11-28,30
2019-11-29,121
2019-11-30,82
2019-12-01,109
2019-12-02,100
2019-12-03,107
2019-12-04,147
2019-12-05,133
2019-12-06,106
2019-12-07,145
2019-12-08,142
2019-12-09,142
2019-12-10,134
2019-12-11,99
2019-12-12,69
2019-12-13,72
2019-12-14,101
2019-12-15,91
2019-12-16,149
2019-12-17,162
2019-12-18,144
2019-12-19,144
2019-12-20,112
2019-12-21,143
2019-12-22,83
2019-12-23,64
2019-12-24,83
2019-12-25,67
2019-12-26,89
2019-12-27,198
2019-12-28,199
2019-12-29,123
2019-12-30,84
2019-12-31,84
